,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
7,19,2.01733E+12,2.01733E+12,168746,168.746,0.168746,,,,
8,19,2.01734E+12,2.01734E+12,171397,171.397,0.171397,,,,
9,19,2.01735E+12,2.01735E+12,179340,179.34,0.17934,,,,
10,19,2.01736E+12,2.01736E+12,167467,167.467,0.167467,,,,
1,20,2.01737E+12,2.01737E+12,154128,154.128,0.154128,,,,
2,20,2.01738E+12,2.01738E+12,190163,190.163,0.190163,,,,
3,20,2.01739E+12,2.01739E+12,148735,148.735,0.148735,,,,
4,20,2.0174E+12,2.0174E+12,170793,170.793,0.170793,,,,
5,20,2.01741E+12,2.01741E+12,117458,117.458,0.117458,,,,
6,20,2.01742E+12,2.01742E+12,211643,211.643,0.211643,,,,
7,20,2.01743E+12,2.01743E+12,146643,146.643,0.146643,,,,
8,20,2.01744E+12,2.01744E+12,161045,161.045,0.161045,,,,
9,20,2.01745E+12,2.01745E+12,181249,181.249,0.181249,,,,
10,20,2.01747E+12,2.01747E+12,164725,164.725,0.164725,,,,
1,21,2.01748E+12,2.01748E+12,135063,135.063,0.135063,,,,
2,21,2.01749E+12,2.01749E+12,160629,160.629,0.160629,,,,
3,21,2.0175E+12,2.0175E+12,190055,190.055,0.190055,,,,
4,21,2.01751E+12,2.01751E+12,165921,165.921,0.165921,,,,
5,21,2.01752E+12,2.01752E+12,157583,157.583,0.157583,,,,
6,21,2.01753E+12,2.01753E+12,127190,127.19,0.12719,,,,
7,21,2.01754E+12,2.01754E+12,200018,200.018,0.200018,,,,
8,21,2.01755E+12,2.01755E+12,156875,156.875,0.156875,,,,
9,21,2.01756E+12,2.01756E+12,194938,194.938,0.194938,,,,
10,21,2.01757E+12,2.01757E+12,174799,174.799,0.174799,,,,
1,22,2.01758E+12,2.01758E+12,155758,155.758,0.155758,,,,
2,22,2.01759E+12,2.01759E+12,152752,152.752,0.152752,,,,
3,22,2.0176E+12,2.0176E+12,186238,186.238,0.186238,,,,
4,22,2.01761E+12,2.01761E+12,160878,160.878,0.160878,,,,
5,22,2.01762E+12,2.01762E+12,156780,156.78,0.15678,,,,
6,22,2.01763E+12,2.01763E+12,166135,166.135,0.166135,,,,
7,22,2.01764E+12,2.01764E+12,167412,167.412,0.167412,,,,
8,22,2.01765E+12,2.01765E+12,183524,183.524,0.183524,,,,
9,22,2.01766E+12,2.01767E+12,133088,133.088,0.133088,,,,
10,22,2.01768E+12,2.01768E+12,174125,174.125,0.174125,,,,
1,23,2.01769E+12,2.01769E+12,167722,167.722,0.167722,,,,
2,23,2.0177E+12,2.0177E+12,217669,217.669,0.217669,,,,
3,23,2.01771E+12,2.01771E+12,178681,178.681,0.178681,,,,
4,23,2.01772E+12,2.01772E+12,125228,125.228,0.125228,,,,
5,23,2.01773E+12,2.01773E+12,159388,159.388,0.159388,,,,
6,23,2.01774E+12,2.01774E+12,191383,191.383,0.191383,,,,
7,23,2.01775E+12,2.01775E+12,165676,165.676,0.165676,,,,
8,23,2.01776E+12,2.01776E+12,173551,173.551,0.173551,,,,
9,23,2.01777E+12,2.01777E+12,133192,133.192,0.133192,,,,
10,23,2.01778E+12,2.01778E+12,163980,163.98,0.16398,,,,
1,24,2.01779E+12,2.01779E+12,165930,165.93,0.16593,,,,
2,24,2.0178E+12,2.0178E+12,168717,168.717,0.168717,,,,
3,24,2.01781E+12,2.01781E+12,220881,220.881,0.220881,,,,
4,24,2.01782E+12,2.01782E+12,168528,168.528,0.168528,,,,
5,24,2.01783E+12,2.01783E+12,153885,153.885,0.153885,,,,
6,24,2.01784E+12,2.01784E+12,165067,165.067,0.165067,,,,
7,24,2.01785E+12,2.01785E+12,133908,133.908,0.133908,,,,
8,24,2.01786E+12,2.01786E+12,182787,182.787,0.182787,,,,
9,24,2.01787E+12,2.01787E+12,152233,152.233,0.152233,,,,
10,24,2.01788E+12,2.01788E+12,167275,167.275,0.167275,,,,
1,25,2.01789E+12,2.01789E+12,176333,176.333,0.176333,,,,
2,25,2.0179E+12,2.0179E+12,136077,136.077,0.136077,,,,
3,25,2.01791E+12,2.01791E+12,189026,189.026,0.189026,,,,
4,25,2.01793E+12,2.01793E+12,194095,194.095,0.194095,,,,
5,25,2.01794E+12,2.01794E+12,156900,156.9,0.1569,,,,
6,25,2.01795E+12,2.01795E+12,171075,171.075,0.171075,,,,
7,25,2.01796E+12,2.01796E+12,170591,170.591,0.170591,,,,
8,25,2.01797E+12,2.01797E+12,169791,169.791,0.169791,,,,
9,25,2.01798E+12,2.01798E+12,147672,147.672,0.147672,,,,
10,25,2.01799E+12,2.01799E+12,167455,167.455,0.167455,,,,
1,26,2.018E+12,2.018E+12,158304,158.304,0.158304,,,,
2,26,2.01801E+12,2.01801E+12,138931,138.931,0.138931,,,,
3,26,2.01802E+12,2.01802E+12,254195,254.195,0.254195,,,,
4,26,2.01803E+12,2.01803E+12,121963,121.963,0.121963,,,,
5,26,2.01804E+12,2.01804E+12,153459,153.459,0.153459,,,,
6,26,2.01805E+12,2.01805E+12,169104,169.104,0.169104,,,,
7,26,2.01806E+12,2.01806E+12,125335,125.335,0.125335,,,,
8,26,2.01807E+12,2.01807E+12,177774,177.774,0.177774,,,,
9,26,2.01808E+12,2.01808E+12,157995,157.995,0.157995,,,,
10,26,2.01809E+12,2.01809E+12,180995,180.995,0.180995,,,,
1,27,2.0181E+12,2.0181E+12,131397,131.397,0.131397,,,,
